county,population,doctor,serve,rank
金門縣,135114,85,1589.58,1
新竹縣,547481,484,1131.16,2
苗栗縣,559189,556,1005.74,3
南投縣,505163,633,798.05,4
雲林縣,694873,881,788.73,5
連江縣,12595,16,787.19,6
新北市,3979208,5151,772.51,7
臺東縣,220802,299,738.47,8
屏東縣,835792,1137,735.09,9
澎湖縣,103263,141,732.36,10
宜蘭縣,457538,663,690.1,11
嘉義縣,515320,800,644.15,12
彰化縣,1287146,2015,638.78,13
桃園市,2147763,3824,561.65,14
臺南市,1886033,3504,538.25,15
新竹市,437337,838,521.88,16
基隆市,372100,718,518.25,17
臺中市,2767239,5916,467.76,18
高雄市,2779371,6142,452.52,19
花蓮縣,330911,820,403.55,20
嘉義市,269874,871,309.84,21
臺北市,2695704,9719,277.36,22
